City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
88,San Quintin,MX,30.4833,-115.95,72.95,70,2,13.42,clear sky,2022-07-21 01:26:20
89,Asau,RO,46.4333,26.4,65.32,72,0,5.08,clear sky,2022-07-21 01:19:27
90,Chuy,UY,-33.6971,-53.4616,57.2,95,81,7.52,broken clouds,2022-07-21 01:19:30
91,Butaritari,KI,3.0707,172.7902,81.09,80,100,9.4,moderate rain,2022-07-21 01:27:21
92,Faanui,PF,-16.4833,-151.75,78.08,69,8,10.45,clear sky,2022-07-21 01:23:18
93,High Rock,BS,26.6208,-78.2833,82.42,71,0,9.51,clear sky,2022-07-21 01:27:21
94,Saldanha,ZA,-33.0117,17.9442,51.51,69,0,8.05,clear sky,2022-07-21 01:27:22
95,Plettenberg Bay,ZA,-34.0527,23.3716,52.07,86,0,5.91,clear sky,2022-07-21 01:27:22
96,Vostok,RU,46.4856,135.8833,68.11,90,84,2.37,broken clouds,2022-07-21 01:27:22
97,Sidi Ali,DZ,36.0998,0.4206,73.26,86,0,3.53,clear sky,2022-07-21 01:27:23
98,Vestmannaeyjar,IS,63.4427,-20.2734,52.09,84,73,14.0,broken clouds,2022-07-21 01:19:26
99,Kalabo,ZM,-14.97,22.6814,59.81,50,99,5.41,overcast clouds,2022-07-21 01:27:23
100,Dikson,RU,73.5069,80.5464,38.86,91,100,30.18,light rain,2022-07-21 01:27:24
101,Khatanga,RU,71.9667,102.5,49.69,58,100,22.3,overcast clouds,2022-07-21 01:23:27
102,Nabire,ID,-3.3667,135.4833,81.21,73,100,4.63,overcast clouds,2022-07-21 01:25:06
103,Nanortalik,GL,60.1432,-45.2371,49.64,87,28,15.05,scattered clouds,2022-07-21 01:23:30
104,Pitimbu,BR,-7.4706,-34.8086,73.99,87,100,12.95,overcast clouds,2022-07-21 01:27:24
105,Barrow,US,71.2906,-156.7887,53.62,62,0,12.66,clear sky,2022-07-21 01:23:21
106,Kurilsk,RU,45.2333,147.8833,52.66,95,100,9.53,moderate rain,2022-07-21 01:27:25
107,Itarema,BR,-2.9248,-39.9167,76.73,78,44,11.18,scattered clouds,2022-07-21 01:15:25
108,Pangnirtung,CA,66.1451,-65.7125,45.54,87,100,0.29,overcast clouds,2022-07-21 01:24:33
109,Maniitsoq,GL,65.4167,-52.9,46.63,93,100,20.49,light rain,2022-07-21 01:27:25
110,Duluth,US,46.7833,-92.1066,82.08,52,0,13.8,clear sky,2022-07-21 01:25:11
111,Atuona,PF,-9.8,-139.0333,77.61,75,1,14.36,clear sky,2022-07-21 01:27:26
112,Covasint,RO,46.2,21.6,64.27,39,0,1.88,clear sky,2022-07-21 01:27:26
113,Gualaquiza,EC,-3.4,-78.55,60.37,91,91,1.3,overcast clouds,2022-07-21 01:27:26
