City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
617,Cozumel,MX,84.27,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
619,Buraydah,SA,84.65,overcast clouds,26.326,43.975,Mövenpick Qassim
621,Tomatlan,MX,83.01,broken clouds,19.9333,-105.25,El Salvial
623,Rincon,US,78.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
624,Dibai,IN,82.81,overcast clouds,28.2167,78.25,Kailash Gyan Guest House
627,Tautira,PF,76.39,light rain,-17.7333,-149.15,Pension Oaoa
629,Mabay,PH,85.8,few clouds,6.0577,124.4666,Bautista Lodging House
631,Sarkand,KZ,82.4,clear sky,45.41,79.9186,Гостиница Сарканд
636,Manzil Salim,TN,76.32,clear sky,35.8567,8.4765,mohamed ben khlil omri
637,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
639,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
640,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
643,Batticaloa,LK,81.23,overcast clouds,7.7102,81.6924,Grand Star Guest House
648,Shwebo,MM,84.07,overcast clouds,22.5667,95.7,MOON SHINE Guest House
649,Santarem,BR,78.93,few clouds,-2.4431,-54.7083,Hotel Imperador
650,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
651,Beaverlodge,CA,76.35,few clouds,55.2166,-119.4361,Side Trax Inn
652,La Maddalena,IT,80.65,clear sky,41.2142,9.4083,Hotel Il Gabbiano
654,Aksu,CN,76.71,clear sky,41.1231,80.2644,Pudong Holiday Hotel
659,Cordele,US,79.32,broken clouds,31.9635,-83.7824,Ramada by Wyndham Cordele
664,Ypsonas,CY,83.28,clear sky,34.6884,32.9574,Club Aphrodite
667,Half Moon Bay,US,79.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
